record_id,statement_date,organization_or_domain,topic,statement_type,statement_paraphrase,target_date_or_timeframe,statement_source_url,statement_source_title,statement_source_tier,evaluation_date,verdict,deadline_result,eventual_fulfillment,factual_accuracy,binary_resolved_score,on_time_score,weighted_reliability_score,deception_intent_status,outcome_summary,outcome_source_1_url,outcome_source_1_title,outcome_source_2_url,outcome_source_2_title,confidence,included_in_site_percentage,selection_basis,source_quality_notes,methodology_notes
TESLA-001,2006-08-02,Tesla,Master plan,Promise,Build a high-end electric sports car as the first step in Tesla's product plan.,No explicit deadline,https://www.tesla.com/secret-master-plan,The Secret Tesla Motors Master Plan,Primary,2026-07-26,FULFILLED,No dated deadline,Yes,Not applicable,1,,1.0,Not established,Tesla put the Roadster into regular production in March 2008.,https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,Tesla Motors Begins Regular Production of 2008 Tesla Roadster,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-002,2006-08-02,Tesla,Affordable EV,Promise,Use the initial car program to fund progressively more affordable electric cars.,No explicit deadline,https://www.tesla.com/secret-master-plan,The Secret Tesla Motors Master Plan,Primary,2026-07-26,FULFILLED,No dated deadline,Yes,Not applicable,1,,0.75,Not established,"Tesla eventually launched the mass-market Model 3, although the promised $35,000 version arrived after higher-priced versions.",https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/,"Tesla debuts $35,000 Model 3",https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-003,2006-08-02,Tesla,Solar energy,Promise,Offer zero-emission electric power generation options alongside electric cars.,No explicit deadline,https://www.tesla.com/secret-master-plan,The Secret Tesla Motors Master Plan,Primary,2026-07-26,PARTIALLY_FULFILLED,No dated deadline,Partial,Not applicable,,,0.5,Not established,"Tesla sells solar panels, Solar Roof and battery products, but the broad scale implied by the plan is not objectively measurable.",https://www.tesla.com/solarroof,Tesla Solar Roof,https://www.tesla.com/powerwall,Tesla Powerwall,Medium,No,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Broad strategic goals are not included in the percentage because success criteria are subjective.
TESLA-004,2008-03-17,Tesla,Model S,Dated promise,Deliver Tesla's next five-passenger sports sedan in 2010.,2010,https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,Tesla Motors Begins Regular Production of 2008 Tesla Roadster,Primary,2026-07-26,FULFILLED_LATE,Missed,Yes,Not applicable,1,0,0.5,Not established,"Customer deliveries of Model S began in June 2012, roughly two years after the stated year.",https://ir.tesla.com/press-release/tesla-motors-delivers-worlds-first-premium-electric-sedan,Tesla Motors Delivers World's First Premium Electric Sedan,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-005,2013-03,Tesla,Model X,Dated promise,Begin Model X production in late 2014.,Late 2014,https://ir.tesla.com/_flysystem/s3/sec/000119312513096241/d452995d10k.html,Tesla 2012 Form 10-K,Primary filing,2026-07-26,FULFILLED_LATE,Missed,Yes,Not applicable,1,0,0.5,Not established,Model X deliveries began in September 2015.,https://ir.tesla.com/_flysystem/s3/sec/000156459019003165/tsla-10k_20181231-gen_0.pdf,Tesla 2018 Form 10-K,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-006,2017-07-02,Tesla,Model 3 production,Dated promise,"Hand over the first 30 customer Model 3 vehicles on July 28, 2017.",2017-07-28,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,2026-07-26,FULFILLED_ON_TIME,Met,Yes,Not applicable,1,1,1.0,Not established,"Tesla held the first Model 3 handover event on July 28, 2017.",https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-007,2017-07-02,Tesla,Model 3 production,Dated forecast,"Produce more than 1,500 Model 3 vehicles in September 2017.",2017-09,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,Tesla produced only 260 Model 3 vehicles in the entire third quarter of 2017.,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,https://ir.tesla.com/press-release/tesla-q4-2017-vehicle-production-and-deliveries,Tesla Q4 2017 vehicle production and deliveries,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-008,2017-07-02,Tesla,Model 3 production,Dated forecast,"Reach 20,000 Model 3 vehicles per month in December 2017.",2017-12,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,"Tesla produced 2,425 Model 3 vehicles during the whole fourth quarter and ended the year near a 1,000-per-week rate.",https://ir.tesla.com/press-release/tesla-q4-2017-vehicle-production-and-deliveries,Tesla Q4 2017 vehicle production and deliveries,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-009,2017-08-02,Tesla,Model 3 production,Dated forecast,"Reach a Model 3 production rate of 5,000 per week by the end of 2017.",2017-12-31,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,"Tesla ended 2017 near 1,000 Model 3 vehicles per week.",https://ir.tesla.com/press-release/tesla-q4-2017-vehicle-production-and-deliveries,Tesla Q4 2017 vehicle production and deliveries,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
TESLA-010,2017-11-01,Tesla,Model 3 production,Revised dated forecast,"Reach approximately 5,000 Model 3 vehicles per week by late Q1 2018.",2018-03-31,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,2026-07-26,NOT_FULFILLED,Missed,No,Not applicable,0,0,0.0,Not established,"Tesla reported a best week of 2,270 Model 3 vehicles before an April shutdown.",https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,,,High,Yes,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","A missed deadline is scored as a reliability failure, not automatically as a deliberate lie."
