record_id,statement_source_url,statement_source_title,statement_source_tier,statement_evidence_quality_score,outcome_source_1_url,outcome_source_1_title,outcome_source_2_url,outcome_source_2_title,outcome_evidence_quality_score,corroboration_score,directness_score,evidence_strength_score,verdict_confidence_score,confidence,evidence_source_count,independent_source_domain_count,credible_sources_contest_claim,source_audit_status,notes
TESLA-001,https://www.tesla.com/secret-master-plan,The Secret Tesla Motors Master Plan,Primary,30,https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,Tesla Motors Begins Regular Production of 2008 Tesla Roadster,,,26,0,15,71,61,Medium,2,0,No,Pass with party-source limitation,No independent outcome source is cited; confidence deduction applied.
TESLA-002,https://www.tesla.com/secret-master-plan,The Secret Tesla Motors Master Plan,Primary,30,https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/,"Tesla debuts $35,000 Model 3",https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,34,8,12,84,79,Medium-High,3,1,No,Pass with same-domain corroboration limitation,Both outcome sources are from the same domain; corroboration receives partial rather than full credit.
TESLA-003,https://www.tesla.com/secret-master-plan,The Secret Tesla Motors Master Plan,Primary,30,https://www.tesla.com/solarroof,Tesla Solar Roof,https://www.tesla.com/powerwall,Tesla Powerwall,26,8,8,72,47,Medium-Low,3,0,No,Pass with party-source limitation,No independent outcome source is cited; confidence deduction applied. Both outcome sources are from the same domain; corroboration receives partial rather than full credit.
TESLA-004,https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,Tesla Motors Begins Regular Production of 2008 Tesla Roadster,Primary,30,https://ir.tesla.com/press-release/tesla-motors-delivers-worlds-first-premium-electric-sedan,Tesla Motors Delivers World's First Premium Electric Sedan,,,26,0,12,68,53,Medium-Low,2,0,No,Pass with party-source limitation,No independent outcome source is cited; confidence deduction applied.
TESLA-005,https://ir.tesla.com/_flysystem/s3/sec/000119312513096241/d452995d10k.html,Tesla 2012 Form 10-K,Primary filing,30,https://ir.tesla.com/_flysystem/s3/sec/000156459019003165/tsla-10k_20181231-gen_0.pdf,Tesla 2018 Form 10-K,,,26,0,12,68,53,Medium-Low,2,0,No,Pass with party-source limitation,No independent outcome source is cited; confidence deduction applied.
TESLA-006,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,26,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,,,34,0,15,75,75,Medium-High,1,1,No,Pass with single-source limitation,No structural source limitation identified by the automated audit.
TESLA-007,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,26,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,https://ir.tesla.com/press-release/tesla-q4-2017-vehicle-production-and-deliveries,Tesla Q4 2017 vehicle production and deliveries,34,8,15,83,83,Medium-High,2,1,No,Pass,No structural source limitation identified by the automated audit.
TESLA-008,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,26,https://ir.tesla.com/press-release/tesla-q4-2017-vehicle-production-and-deliveries,Tesla Q4 2017 vehicle production and deliveries,,,26,0,15,67,57,Medium,2,1,No,Pass with party-source limitation,No independent outcome source is cited; confidence deduction applied.
TESLA-009,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,26,https://ir.tesla.com/press-release/tesla-q4-2017-vehicle-production-and-deliveries,Tesla Q4 2017 vehicle production and deliveries,,,26,0,15,67,57,Medium,2,1,No,Pass with party-source limitation,No independent outcome source is cited; confidence deduction applied.
TESLA-010,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,26,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,,,34,0,15,75,75,Medium-High,1,1,No,Pass with single-source limitation,No structural source limitation identified by the automated audit.
TESLA-011,https://www.reuters.com/article/technology/timeline-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500G/,Timeline: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,26,https://www.reuters.com/article/business/exclusive-tesla-hits-model-3-manufacturing-milestone-hours-after-deadline-fa-idUSKBN1JR1WX/,Tesla hits Model 3 manufacturing milestone hours after deadline,https://ir.tesla.com/press-release/tesla-q2-2018-vehicle-production-and-deliveries,Tesla Q2 2018 vehicle production and deliveries,34,8,12,80,75,Medium-High,3,1,No,Pass,No structural source limitation identified by the automated audit.
TESLA-012,https://www.reuters.com/article/technology/tesla-worried-by-china-tariffs-even-as-deliveries-surge-idUSKCN1MC1LY/,Tesla worried by China tariffs even as deliveries surge,Tier 1 independent quoting Musk,26,https://www.reuters.com/article/technology/tesla-worried-by-china-tariffs-even-as-deliveries-surge-idUSKCN1MC1LY/,Tesla worried by China tariffs even as deliveries surge,,,34,0,15,75,75,Medium-High,1,1,No,Pass with single-source limitation,No structural source limitation identified by the automated audit.
TESLA-013,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,26,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,,,34,0,15,75,75,Medium-High,2,1,No,Pass,No structural source limitation identified by the automated audit.
TESLA-014,https://www.reuters.com/article/us-tesla-model-idUSKCN0WY3JK/,"Tesla accelerates 500,000-car target to 2018",Tier 1 independent quoting Musk,26,https://ir.tesla.com/press-release/tesla-q4-2020-vehicle-production-deliveries,Tesla Q4 2020 vehicle production and deliveries,,,26,0,15,67,57,Medium,2,1,No,Pass with party-source limitation,No independent outcome source is cited; confidence deduction applied.
