section,key,display_label,score_or_value,include_in_trust_score,definition,calculation_or_rule,notes
Promise/forecast verdict,True,True — Fulfilled as Stated,100,Yes,"Every material term was met, including timing, scope, quantity, capability, price, and permanence.",Direct evidence comparison against original terms,No partial credit for lateness.
Promise/forecast verdict,False,False,0,Yes,"At least one matured material term failed, including a deadline miss, incomplete scope, reversal, or incorrect forecast.",Direct evidence comparison against original terms,Later delivery remains in the record but earns no points.
Promise/forecast verdict,Pending,Pending,,No,The stated deadline or condition had not matured by the evaluation date.,Excluded until mature,Recheck on a fixed cadence.
Promise/forecast verdict,Unresolved,Unresolved,,No,Available evidence cannot responsibly establish pass or fail.,Excluded pending stronger evidence,"Uncertainty is visible, not forced into a score."
Factual verdict,True,True,100,Yes,The central factual proposition is supported by strong evidence.,Direct evidence evaluation,Intent remains separate.
Factual verdict,Mostly True,Mostly True,75,Yes,The core proposition is accurate but has a meaningful nonfatal qualification.,Direct evidence evaluation,Not available to promises or forecasts in V5.
Factual verdict,Misleading,Misleading,50,Yes,"Some facts are accurate, but omitted context or framing materially changes the reasonable takeaway.",Direct evidence evaluation,Not available to promises or forecasts in V5.
Factual verdict,Unsupported,Unsupported,25,Yes,An affirmative claim lacks adequate credible support but is not conclusively disproven.,Burden-of-proof evaluation,Not available to promises or forecasts in V5.
Factual verdict,False,False,0,Yes,Reliable evidence contradicts the central proposition.,Direct evidence evaluation,False does not automatically mean lie.
Factual verdict,Unresolved,Unresolved,,No,Evidence is insufficient or materially conflicted.,Excluded from score,Keep visible.
Strict promise result,Pass,Pass,100,Yes,All material terms met.,Binary result,2012 is not 2010.
Strict promise result,Fail,Fail,0,Yes,Any matured material term failed.,Binary result,"Hours late, eight days late, or years late all fail the original dated proposition."
Strict promise result,Not applicable,Not applicable,,As factual verdict dictates,Row is not a promise or forecast.,No strict promise test,
Rating band,Highly Trustworthy,Highly Trustworthy,80–100,,Editorial conclusion for scores in this range.,Apply to exact score,Thresholds are editorial and public.
Rating band,Generally Trustworthy,Generally Trustworthy,65–79.9,,Editorial conclusion for scores in this range.,Apply to exact score,Thresholds are editorial and public.
Rating band,Inconsistent,Inconsistent,45–64.9,,Editorial conclusion for scores in this range.,Apply to exact score,Thresholds are editorial and public.
Rating band,Not Trustworthy,Not Trustworthy,25–44.9,,Editorial conclusion for scores in this range.,Apply to exact score,Thresholds are editorial and public.
Rating band,Highly Untrustworthy,Highly Untrustworthy,0–24.9,,Editorial conclusion for scores in this range.,Apply to exact score,Thresholds are editorial and public.
Intent,Established,Yes,,,"Direct admission, adjudicated intent finding, or comparably conclusive state-of-mind evidence.",Separate from accuracy,None in V5 unless evidence meets the strict standard.
Intent,Suggested but not established,No,,,Evidence suggests contrary prior knowledge but does not conclusively prove intent.,Separate from accuracy,Public answer remains No.
Intent,Not established,No,,,Cited evidence does not establish intentional deception.,Separate from accuracy,Does not imply the statement was true.
Intent,Not assessable,Not assessable,,,Underlying claim is Pending or Unresolved.,Exclude state-of-mind conclusion,
Evidence metric,Statement evidence quality,0–30,,,Quality and directness of evidence that Musk made the statement.,Published deterministic rubric,
Evidence metric,Outcome evidence quality,0–40,,,Quality of evidence establishing the outcome.,Published deterministic rubric,
Evidence metric,Corroboration,0–15,,,Independent corroboration across sources and domains.,Published deterministic rubric,
Evidence metric,Directness,0–15,,,How directly the evidence resolves the proposition.,Published deterministic rubric,
Evidence metric,Evidence strength,0–100,,,Sum of four evidence components.,statement + outcome + corroboration + directness,Not a probability.
Selection rule,Materiality,Included only when material,,,"Claim must be concrete, externally verifiable, and consequential.",Editorial inclusion screen,Avoid padding with trivial truths.
Assertion mode,Repost,Score only when adopted,,,A bare repost is not automatically treated as adoption.,"Require affirmative caption, explicit endorsement, or use as evidence",
Compound claims,Split,One proposition per row,,,Materially separable propositions receive separate records.,"Split by deadline, quantity, capability, or factual premise",Prevents one successful fragment from masking failures.
