record_id,change_type,v4_statement_paraphrase,v5_statement_paraphrase,v4_verdict,v5_verdict,v4_display_verdict,v5_display_verdict,v4_score,v5_score,v4_included,v5_included,score_delta,strict_promise_result,status_rule_version,changes_and_evidence_reason
TESLA-001,Reclassified,Build a high-end electric sports car as the first step in Tesla's product plan.,Build a high-end electric sports car as the first step in Tesla's product plan.,True,True,Fulfilled,True — Fulfilled as Stated,100,100,Yes,Yes,0,Pass,strict-promise-v1.0,display: Fulfilled -> True — Fulfilled as Stated Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-002,Reclassified,Use the initial car program to fund progressively more affordable electric cars.,Use the initial car program to fund progressively more affordable electric cars.,Mostly True,True,Substantially Fulfilled,True — Fulfilled as Stated,75,100,Yes,Yes,25,Pass,strict-promise-v1.0,verdict: Mostly True -> True display: Substantially Fulfilled -> True — Fulfilled as Stated score: 75 -> 100 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-003,Reclassified,Offer zero-emission electric power generation options alongside electric cars.,Offer zero-emission electric power generation options alongside electric cars.,Unresolved,True,Unresolved,True — Fulfilled as Stated,,100,No,Yes,,Pass,strict-promise-v1.0,verdict: Unresolved -> True display: Unresolved -> True — Fulfilled as Stated score:  -> 100 inclusion: No -> Yes Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-004,Reclassified,Deliver Tesla's next five-passenger sports sedan in 2010.,Deliver Tesla's next five-passenger sports sedan in 2010.,Misleading,False,Fulfilled Late,False — Missed Deadline,50,0,Yes,Yes,-50,Fail,strict-promise-v1.0,verdict: Misleading -> False display: Fulfilled Late -> False — Missed Deadline score: 50 -> 0 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-005,Reclassified,Begin Model X production in late 2014.,Begin Model X production in late 2014.,Misleading,False,Fulfilled Late,False — Missed Deadline,50,0,Yes,Yes,-50,Fail,strict-promise-v1.0,verdict: Misleading -> False display: Fulfilled Late -> False — Missed Deadline score: 50 -> 0 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-006,Reclassified,"Hand over the first 30 customer Model 3 vehicles on July 28, 2017.","Hand over the first 30 customer Model 3 vehicles on July 28, 2017.",True,True,Fulfilled On Time,True — Fulfilled as Stated,100,100,Yes,Yes,0,Pass,strict-promise-v1.0,display: Fulfilled On Time -> True — Fulfilled as Stated Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-007,Reclassified,"Produce more than 1,500 Model 3 vehicles in September 2017.","Produce more than 1,500 Model 3 vehicles in September 2017.",False,False,Incorrect,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Incorrect -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-008,Reclassified,"Reach 20,000 Model 3 vehicles per month in December 2017.","Reach 20,000 Model 3 vehicles per month in December 2017.",False,False,Incorrect,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Incorrect -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-009,Reclassified,"Reach a Model 3 production rate of 5,000 per week by the end of 2017.","Reach a Model 3 production rate of 5,000 per week by the end of 2017.",False,False,Incorrect,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Incorrect -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-010,Reclassified,"Reach approximately 5,000 Model 3 vehicles per week by late Q1 2018.","Reach approximately 5,000 Model 3 vehicles per week by late Q1 2018.",False,False,Incorrect,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Incorrect -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-011,Reclassified,"Reach 5,000 Model 3 vehicles per week by the end of Q2 2018.","Reach 5,000 Model 3 vehicles per week by the end of Q2 2018.",Mostly True,False,Mostly Correct,False — Missed Deadline,75,0,Yes,Yes,-75,Fail,strict-promise-v1.0,verdict: Mostly True -> False display: Mostly Correct -> False — Missed Deadline score: 75 -> 0 Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-012,Reclassified,"Increase Model 3 production to 6,000 per week by late August 2018.","Increase Model 3 production to 6,000 per week by late August 2018.",False,False,Incorrect,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Incorrect -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-013,Reclassified,"Reach 10,000 Model 3 vehicles per week toward the end of 2018.","Reach 10,000 Model 3 vehicles per week toward the end of 2018.",False,False,Incorrect,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Incorrect -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-014,Reclassified,"Produce about 500,000 vehicles annually by 2020.","Produce about 500,000 vehicles annually by 2020.",True,True,Correct,True — Fulfilled as Stated,100,100,Yes,Yes,0,Pass,strict-promise-v1.0,display: Correct -> True — Fulfilled as Stated Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
TESLA-015,Reclassified,Launch Model 3 without needing a capital raise.,Launch Model 3 without needing a capital raise.,False,False,Unfulfilled,False — Missed Deadline,0,0,Yes,Yes,0,Fail,strict-promise-v1.0,display: Unfulfilled -> False — Missed Deadline Reviewed under strict deadline-and-terms pass/fail rule; later delivery cannot earn partial credit.
