record_id,legacy_verdict,legacy_weighted_reliability_score,legacy_included_in_site_percentage,v2_verdict_category,v2_display_verdict,v2_score_points,v2_include_in_trust_score,inclusion_changed,classification_rationale
TESLA-001,FULFILLED,1.0,Yes,True,Fulfilled,100,Yes,No,The available evidence supports the central claim or shows the commitment was fulfilled as stated.
TESLA-002,FULFILLED,0.75,Yes,Mostly True,Substantially Fulfilled,75,Yes,No,"The central outcome occurred, with a limited qualification, deviation, or independent-evidence gap."
TESLA-003,PARTIALLY_FULFILLED,0.5,No,Unresolved,Unresolved,,No,No,"Tesla offers the cited products, but the statement is a broad strategic goal without an objective completion threshold."
TESLA-004,FULFILLED_LATE,0.5,Yes,Misleading,Fulfilled Late,50,Yes,No,"The central outcome eventually occurred, but the missed deadline was material to the original claim."
TESLA-005,FULFILLED_LATE,0.5,Yes,Misleading,Fulfilled Late,50,Yes,No,"The central outcome eventually occurred, but the missed deadline was material to the original claim."
TESLA-006,FULFILLED_ON_TIME,1.0,Yes,True,Fulfilled On Time,100,Yes,No,The documented outcome matched the central commitment within the stated deadline.
TESLA-007,NOT_FULFILLED,0.0,Yes,False,Incorrect,0,Yes,No,The measurable forecast did not occur within the stated timeframe.
TESLA-008,NOT_FULFILLED,0.0,Yes,False,Incorrect,0,Yes,No,The measurable forecast did not occur within the stated timeframe.
TESLA-009,NOT_FULFILLED,0.0,Yes,False,Incorrect,0,Yes,No,The measurable forecast did not occur within the stated timeframe.
TESLA-010,NOT_FULFILLED,0.0,Yes,False,Incorrect,0,Yes,No,The measurable forecast did not occur within the stated timeframe.
TESLA-011,FULFILLED_LATE,0.75,Yes,Mostly True,Mostly Correct,75,Yes,No,The central outcome occurred with a relatively limited delay.
TESLA-012,NOT_FULFILLED,0.0,Yes,False,Incorrect,0,Yes,No,The measurable forecast did not occur within the stated timeframe.
TESLA-013,NOT_FULFILLED,0.0,Yes,False,Incorrect,0,Yes,No,The measurable forecast did not occur within the stated timeframe.
TESLA-014,FULFILLED_ON_TIME,1.0,Yes,True,Correct,100,Yes,No,The documented outcome matched the central commitment within the stated deadline.
TESLA-015,NOT_FULFILLED,0.0,Yes,False,Unfulfilled,0,Yes,No,The deadline matured without the promised result being delivered under the original terms.
TESLA-016,FULFILLED_LATE,0.5,Yes,Misleading,Materially Late,50,Yes,No,"The central outcome eventually occurred, but the missed deadline was material to the original claim."
TESLA-017,FULFILLED_LATE,0.75,Yes,Mostly True,Fulfilled Slightly Late,75,Yes,No,The central outcome occurred with a relatively limited delay.
TESLA-018,NOT_FULFILLED,0.0,Yes,False,Unfulfilled,0,Yes,No,The deadline matured without the promised result being delivered under the original terms.
TESLA-019,FALSE_OR_UNSUPPORTED,0.0,Yes,Unsupported,Unsupported,25,Yes,No,"Reuters reporting materially contradicts Musk's accusation, but the dispute was not conclusively adjudicated; it is scored Unsupported rather than False."
TESLA-020,NOT_FULFILLED,0.0,Yes,False,Incorrect,0,Yes,No,The measurable forecast did not occur within the stated timeframe.
TESLA-021,NOT_FULFILLED,0.0,Yes,False,Unfulfilled,0,Yes,No,The deadline matured without the promised result being delivered under the original terms.
TESLA-022,NOT_FULFILLED,0.0,Yes,False,Incorrect,0,Yes,No,The measurable forecast did not occur within the stated timeframe.
TESLA-023,PARTIALLY_FULFILLED,0.25,Yes,Misleading,Partially Fulfilled,50,Yes,No,"A meaningful part of the claim held up, but material scope, capability, or context remained unmet."
TESLA-024,NOT_FULFILLED,0.0,Yes,False,Incorrect,0,Yes,No,The measurable forecast did not occur within the stated timeframe.
TESLA-025,NOT_FULFILLED,0.0,Yes,False,Incorrect,0,Yes,No,The measurable forecast did not occur within the stated timeframe.
TESLA-026,FULFILLED_LATE,0.75,Yes,Mostly True,Fulfilled Slightly Late,75,Yes,No,The central outcome occurred with a relatively limited delay.
TESLA-027,FULFILLED_ON_TIME,1.0,Yes,True,Fulfilled On Time,100,Yes,No,The documented outcome matched the central commitment within the stated deadline.
