record_id,metric_name,metric_value,evidence_basis,evidence_urls,evidence_titles,calculation_rule,evidence_strength_score,verdict_confidence_score,confidence_band,audit_status
TESLA-001,deadline_result,No dated deadline,Compared the original target/timeframe (“No explicit deadline”) with the documented outcome. Result: No dated deadline. Evidence: The Secret Tesla Motors Master Plan; Tesla Motors Begins Regular Production of 2008 Tesla Roadster. URLs: https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,The Secret Tesla Motors Master Plan; Tesla Motors Begins Regular Production of 2008 Tesla Roadster,Compare original target with documented timing.,71,61,Medium,Complete
TESLA-001,eventual_outcome,Fulfilled,Classified the later real-world result independently from the headline verdict. Result: Fulfilled. Documented outcome: Tesla put the Roadster into regular production in March 2008. Evidence: The Secret Tesla Motors Master Plan; Tesla Motors Begins Regular Production of 2008 Tesla Roadster. URLs: https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,The Secret Tesla Motors Master Plan; Tesla Motors Begins Regular Production of 2008 Tesla Roadster,Classify the later real-world outcome separately from the headline verdict.,71,61,Medium,Complete
TESLA-001,factual_accuracy,Not applicable,Compared the normalized proposition with the cited records. Result: Not applicable. Documented outcome: Tesla put the Roadster into regular production in March 2008. Evidence: The Secret Tesla Motors Master Plan; Tesla Motors Begins Regular Production of 2008 Tesla Roadster. URLs: https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,The Secret Tesla Motors Master Plan; Tesla Motors Begins Regular Production of 2008 Tesla Roadster,Compare the normalized factual proposition with cited evidence.,71,61,Medium,Complete
TESLA-001,verdict_category,True,"Strict promise rule: pass only when every material term, including timing, scope, quantity, capability, price, and permanence, was met. Any matured material miss is False and earns 0; later delivery is contextual only. Applied result: True (True — Fulfilled as Stated). Evidence finding: Tesla put the Roadster into regular production in March 2008. Evidence: The Secret Tesla Motors Master Plan; Tesla Motors Begins Regular Production of 2008 Tesla Roadster. URLs: https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster",https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,The Secret Tesla Motors Master Plan; Tesla Motors Begins Regular Production of 2008 Tesla Roadster,Apply strict promise rule or published factual-claim classification.,71,61,Medium,Complete
TESLA-001,score_points,100,Score assigned mechanically from verdict and claim type under strict-promise-v1.0: True = 100 points.,https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,The Secret Tesla Motors Master Plan; Tesla Motors Begins Regular Production of 2008 Tesla Roadster,Map verdict mechanically to points under the applicable rule.,71,61,Medium,Complete
TESLA-001,include_in_trust_score,Yes,Included because the claim has a resolved evidence-based verdict.,https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,The Secret Tesla Motors Master Plan; Tesla Motors Begins Regular Production of 2008 Tesla Roadster,Include only resolved evidence-based verdicts.,71,61,Medium,Complete
TESLA-001,confidence,Medium,Evidence strength 71/100 = statement 30/30 + outcome 26/40 + corroboration 0/15 + directness 15/15. Published deductions yield verdict confidence 61/100 (Medium).,https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,The Secret Tesla Motors Master Plan; Tesla Motors Begins Regular Production of 2008 Tesla Roadster,Calculate from evidence components and published deductions.,71,61,Medium,Complete
TESLA-001,credible_sources_contest_claim,No,Credible-source contestation: No. Resolution: No material contestation identified in the cited evidence. Evidence URLs: https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,The Secret Tesla Motors Master Plan; Tesla Motors Begins Regular Production of 2008 Tesla Roadster,Record material credible-source disagreement separately from verdict.,71,61,Medium,Complete
TESLA-001,correction_status,No correction documented in the cited evidence reviewed for this row,Correction status is bounded to the cited record: No correction documented in the cited evidence reviewed for this row. Evidence URLs: https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,The Secret Tesla Motors Master Plan; Tesla Motors Begins Regular Production of 2008 Tesla Roadster,Bound correction finding to cited evidence.,71,61,Medium,Complete
TESLA-001,repeated_after_correction,Not established from the cited evidence,Repeated after correction: Not established from the cited evidence. Minimum documented repetition count: At least 1 documented instance. Evidence URLs: https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,The Secret Tesla Motors Master Plan; Tesla Motors Begins Regular Production of 2008 Tesla Roadster,Bound repetition finding to cited evidence.,71,61,Medium,Complete
TESLA-001,intentional_deception_established,No,The cited evidence supports the claim or fulfillment. No evidence in this row establishes intentional deception.,https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,The Secret Tesla Motors Master Plan; Tesla Motors Begins Regular Production of 2008 Tesla Roadster,"Require direct admission, adjudicated intent finding, or comparably conclusive state-of-mind evidence.",71,61,Medium,Complete
TESLA-001,strict_promise_result,Pass,"Strict promise rule: pass only when every material term, including timing, scope, quantity, capability, price, and permanence, was met. Any matured material miss is False and earns 0; later delivery is contextual only. Applied result: True (True — Fulfilled as Stated). Evidence finding: Tesla put the Roadster into regular production in March 2008. Evidence: The Secret Tesla Motors Master Plan; Tesla Motors Begins Regular Production of 2008 Tesla Roadster. URLs: https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster",https://www.tesla.com/secret-master-plan; https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,The Secret Tesla Motors Master Plan; Tesla Motors Begins Regular Production of 2008 Tesla Roadster,"Pass only if every material promise or forecast term was met; otherwise Fail, Pending, Unresolved, or Not applicable.",71,61,Medium,Complete
TESLA-002,deadline_result,No dated deadline,"Compared the original target/timeframe (“No explicit deadline”) with the documented outcome. Result: No dated deadline. Evidence: The Secret Tesla Motors Master Plan; Tesla debuts $35,000 Model 3; Elon Musk's late and unfulfilled Tesla promises. URLs: https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/",https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,"The Secret Tesla Motors Master Plan; Tesla debuts $35,000 Model 3; Elon Musk's late and unfulfilled Tesla promises",Compare original target with documented timing.,84,84,Medium-High,Complete
TESLA-002,eventual_outcome,Fulfilled,"Classified the later real-world result independently from the headline verdict. Result: Fulfilled. Documented outcome: Tesla eventually launched the mass-market Model 3, although the promised $35,000 version arrived after higher-priced versions. Evidence: The Secret Tesla Motors Master Plan; Tesla debuts $35,000 Model 3; Elon Musk's late and unfulfilled Tesla promises. URLs: https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/",https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,"The Secret Tesla Motors Master Plan; Tesla debuts $35,000 Model 3; Elon Musk's late and unfulfilled Tesla promises",Classify the later real-world outcome separately from the headline verdict.,84,84,Medium-High,Complete
TESLA-002,factual_accuracy,Not applicable,"Compared the normalized proposition with the cited records. Result: Not applicable. Documented outcome: Tesla eventually launched the mass-market Model 3, although the promised $35,000 version arrived after higher-priced versions. Evidence: The Secret Tesla Motors Master Plan; Tesla debuts $35,000 Model 3; Elon Musk's late and unfulfilled Tesla promises. URLs: https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/",https://www.tesla.com/secret-master-plan; https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/; https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,"The Secret Tesla Motors Master Plan; Tesla debuts $35,000 Model 3; Elon Musk's late and unfulfilled Tesla promises",Compare the normalized factual proposition with cited evidence.,84,84,Medium-High,Complete
