record_id,schema_version,statement_date,organization_or_domain,primary_domain,topic,claim_type,statement_paraphrase,target_date_or_timeframe,statement_source_url,statement_source_title,statement_source_tier,evaluation_date,verdict_category,display_verdict,score_points,include_in_trust_score,exclusion_reason,classification_rationale,credible_sources_contest_claim,contestation_resolution,deadline_result,eventual_outcome,factual_accuracy,deception_intent_status,outcome_summary,outcome_source_1_url,outcome_source_1_title,outcome_source_2_url,outcome_source_2_title,confidence,selection_basis,source_quality_notes,methodology_notes,legacy_methodology_notes,legacy_statement_type,legacy_verdict,legacy_weighted_reliability_score,legacy_included_in_site_percentage
TESLA-001,2.0,2006-08-02,Tesla,Business & Technology,Master plan,Promise or Commitment,Build a high-end electric sports car as the first step in Tesla's product plan.,No explicit deadline,https://www.tesla.com/secret-master-plan,The Secret Tesla Motors Master Plan,Primary,2026-07-26,True,Fulfilled,100,Yes,,The available evidence supports the central claim or shows the commitment was fulfilled as stated.,No,,No dated deadline,Fulfilled,Not applicable,Not established,Tesla put the Roadster into regular production in March 2008.,https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,Tesla Motors Begins Regular Production of 2008 Tesla Roadster,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v2 True category at 100 points. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Promise,FULFILLED,1.0,Yes
TESLA-002,2.0,2006-08-02,Tesla,Business & Technology,Affordable EV,Promise or Commitment,Use the initial car program to fund progressively more affordable electric cars.,No explicit deadline,https://www.tesla.com/secret-master-plan,The Secret Tesla Motors Master Plan,Primary,2026-07-26,Mostly True,Substantially Fulfilled,75,Yes,,"The central outcome occurred, with a limited qualification, deviation, or independent-evidence gap.",No,,No dated deadline,Substantially fulfilled,Not applicable,Not established,"Tesla eventually launched the mass-market Model 3, although the promised $35,000 version arrived after higher-priced versions.",https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/,"Tesla debuts $35,000 Model 3",https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v2 Mostly True category at 75 points. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Promise,FULFILLED,0.75,Yes
TESLA-003,2.0,2006-08-02,Tesla,Business & Technology,Solar energy,Promise or Commitment,Offer zero-emission electric power generation options alongside electric cars.,No explicit deadline,https://www.tesla.com/secret-master-plan,The Secret Tesla Motors Master Plan,Primary,2026-07-26,Unresolved,Unresolved,,No,"Tesla offers the cited products, but the statement is a broad strategic goal without an objective completion threshold.","Tesla offers the cited products, but the statement is a broad strategic goal without an objective completion threshold.",No,,No dated deadline,Unresolved,Not applicable,Not established,"Tesla sells solar panels, Solar Roof and battery products, but the broad scale implied by the plan is not objectively measurable.",https://www.tesla.com/solarroof,Tesla Solar Roof,https://www.tesla.com/powerwall,Tesla Powerwall,Medium,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker","Excluded from the v2 Trust Score as Unresolved: Tesla offers the cited products, but the statement is a broad strategic goal without an objective completion threshold.",Broad strategic goals are not included in the percentage because success criteria are subjective.,Promise,PARTIALLY_FULFILLED,0.5,No
TESLA-004,2.0,2008-03-17,Tesla,Business & Technology,Model S,Promise or Commitment,Deliver Tesla's next five-passenger sports sedan in 2010.,2010,https://ir.tesla.com/press-release/tesla-motors-begins-regular-production-2008-tesla-roadster,Tesla Motors Begins Regular Production of 2008 Tesla Roadster,Primary,2026-07-26,Misleading,Fulfilled Late,50,Yes,,"The central outcome eventually occurred, but the missed deadline was material to the original claim.",No,,Missed,Partially fulfilled or materially late,Not applicable,Not established,"Customer deliveries of Model S began in June 2012, roughly two years after the stated year.",https://ir.tesla.com/press-release/tesla-motors-delivers-worlds-first-premium-electric-sedan,Tesla Motors Delivers World's First Premium Electric Sedan,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v2 Misleading category at 50 points. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated promise,FULFILLED_LATE,0.5,Yes
TESLA-005,2.0,2013-03,Tesla,Business & Technology,Model X,Promise or Commitment,Begin Model X production in late 2014.,Late 2014,https://ir.tesla.com/_flysystem/s3/sec/000119312513096241/d452995d10k.html,Tesla 2012 Form 10-K,Primary filing,2026-07-26,Misleading,Fulfilled Late,50,Yes,,"The central outcome eventually occurred, but the missed deadline was material to the original claim.",No,,Missed,Partially fulfilled or materially late,Not applicable,Not established,Model X deliveries began in September 2015.,https://ir.tesla.com/_flysystem/s3/sec/000156459019003165/tsla-10k_20181231-gen_0.pdf,Tesla 2018 Form 10-K,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v2 Misleading category at 50 points. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated promise,FULFILLED_LATE,0.5,Yes
TESLA-006,2.0,2017-07-02,Tesla,Business & Technology,Model 3 production,Promise or Commitment,"Hand over the first 30 customer Model 3 vehicles on July 28, 2017.",2017-07-28,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,2026-07-26,True,Fulfilled On Time,100,Yes,,The documented outcome matched the central commitment within the stated deadline.,No,,Met,Fulfilled,Not applicable,Not established,"Tesla held the first Model 3 handover event on July 28, 2017.",https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v2 True category at 100 points. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated promise,FULFILLED_ON_TIME,1.0,Yes
TESLA-007,2.0,2017-07-02,Tesla,Business & Technology,Model 3 production,Prediction or Forecast,"Produce more than 1,500 Model 3 vehicles in September 2017.",2017-09,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,2026-07-26,False,Incorrect,0,Yes,,The measurable forecast did not occur within the stated timeframe.,No,,Missed,Unfulfilled or reversed,Not applicable,Not established,Tesla produced only 260 Model 3 vehicles in the entire third quarter of 2017.,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,https://ir.tesla.com/press-release/tesla-q4-2017-vehicle-production-and-deliveries,Tesla Q4 2017 vehicle production and deliveries,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v2 False category at 0 points. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated forecast,NOT_FULFILLED,0.0,Yes
TESLA-008,2.0,2017-07-02,Tesla,Business & Technology,Model 3 production,Prediction or Forecast,"Reach 20,000 Model 3 vehicles per month in December 2017.",2017-12,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,2026-07-26,False,Incorrect,0,Yes,,The measurable forecast did not occur within the stated timeframe.,No,,Missed,Unfulfilled or reversed,Not applicable,Not established,"Tesla produced 2,425 Model 3 vehicles during the whole fourth quarter and ended the year near a 1,000-per-week rate.",https://ir.tesla.com/press-release/tesla-q4-2017-vehicle-production-and-deliveries,Tesla Q4 2017 vehicle production and deliveries,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v2 False category at 0 points. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated forecast,NOT_FULFILLED,0.0,Yes
TESLA-009,2.0,2017-08-02,Tesla,Business & Technology,Model 3 production,Prediction or Forecast,"Reach a Model 3 production rate of 5,000 per week by the end of 2017.",2017-12-31,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,2026-07-26,False,Incorrect,0,Yes,,The measurable forecast did not occur within the stated timeframe.,No,,Missed,Unfulfilled or reversed,Not applicable,Not established,"Tesla ended 2017 near 1,000 Model 3 vehicles per week.",https://ir.tesla.com/press-release/tesla-q4-2017-vehicle-production-and-deliveries,Tesla Q4 2017 vehicle production and deliveries,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v2 False category at 0 points. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated forecast,NOT_FULFILLED,0.0,Yes
TESLA-010,2.0,2017-11-01,Tesla,Business & Technology,Model 3 production,Prediction or Forecast,"Reach approximately 5,000 Model 3 vehicles per week by late Q1 2018.",2018-03-31,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,2026-07-26,False,Incorrect,0,Yes,,The measurable forecast did not occur within the stated timeframe.,No,,Missed,Unfulfilled or reversed,Not applicable,Not established,"Tesla reported a best week of 2,270 Model 3 vehicles before an April shutdown.",https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v2 False category at 0 points. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Revised dated forecast,NOT_FULFILLED,0.0,Yes
TESLA-011,2.0,2018-05-02,Tesla,Business & Technology,Model 3 production,Prediction or Forecast,"Reach 5,000 Model 3 vehicles per week by the end of Q2 2018.",2018-06-30,https://www.reuters.com/article/technology/timeline-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500G/,Timeline: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,2026-07-26,Mostly True,Mostly Correct,75,Yes,,The central outcome occurred with a relatively limited delay.,No,,Missed by hours,Substantially fulfilled,Not applicable,Not established,"Tesla reported 5,031 Model 3 vehicles in the final seven days of Q2, but Reuters reported the milestone was reached hours after the quarter-end deadline.",https://www.reuters.com/article/business/exclusive-tesla-hits-model-3-manufacturing-milestone-hours-after-deadline-fa-idUSKBN1JR1WX/,Tesla hits Model 3 manufacturing milestone hours after deadline,https://ir.tesla.com/press-release/tesla-q2-2018-vehicle-production-and-deliveries,Tesla Q2 2018 vehicle production and deliveries,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v2 Mostly True category at 75 points. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Revised dated forecast,FULFILLED_LATE,0.75,Yes
