section,metric,group,count,total_records,points_earned,points_possible,percentage_or_score,conclusion,formula_or_rule,interpretation_and_caveat
Dataset,Total records,All,100,100,,,,,Count of claims CSV rows,"A source-backed curated corpus, not every statement Elon Musk has ever made."
Dataset,Claims included in Trust Score,All,83,100,,,83.0,,include_in_trust_score = Yes,Pending and genuinely unresolved claims are excluded from the denominator.
Dataset,Claims excluded from Trust Score,All,17,100,,,17.0,,include_in_trust_score = No,Excluded rows remain visible in the claims CSV.
Overall,Elon Musk Trust Score,All,83,100,2950,8300,35.5,Not Trustworthy,sum(score_points) / (scored_claims * 100) * 100,"This is a reliability score within this curated corpus, not a scientifically representative percentage of every statement Musk makes."
Overall,Homepage rounded score,All,83,100,2950,8300,36,Not Trustworthy,Round exact Trust Score to nearest whole number,Display the exact score and methodology on the click-through page.
Verdict distribution,Claim count,True,11,100,1100,1100,11.0,,Count by verdict_category,Unresolved and Pending are visible but excluded from the Trust Score.
Verdict distribution,Claim count,Mostly True,13,100,975,1300,13.0,,Count by verdict_category,Unresolved and Pending are visible but excluded from the Trust Score.
Verdict distribution,Claim count,Misleading,15,100,750,1500,15.0,,Count by verdict_category,Unresolved and Pending are visible but excluded from the Trust Score.
Verdict distribution,Claim count,Unsupported,5,100,125,500,5.0,,Count by verdict_category,Unresolved and Pending are visible but excluded from the Trust Score.
Verdict distribution,Claim count,False,39,100,0,3900,39.0,,Count by verdict_category,Unresolved and Pending are visible but excluded from the Trust Score.
Verdict distribution,Claim count,Unresolved,5,100,,,5.0,,Count by verdict_category,Unresolved and Pending are visible but excluded from the Trust Score.
Verdict distribution,Claim count,Pending,12,100,,,12.0,,Count by verdict_category,Unresolved and Pending are visible but excluded from the Trust Score.
By primary domain,Trust Score,Business & Technology,59,72,2100,5900,35.6,Not Trustworthy,sum(score_points) / scored claims,Small groups are highly sensitive to individual claim selection; always show the scored-claim count.
By primary domain,Trust Score,Media & Society,9,12,400,900,44.4,Not Trustworthy,sum(score_points) / scored claims,Small groups are highly sensitive to individual claim selection; always show the scored-claim count.
By primary domain,Trust Score,Politics & Government,9,9,125,900,13.9,Highly Untrustworthy,sum(score_points) / scored claims,Small groups are highly sensitive to individual claim selection; always show the scored-claim count.
By primary domain,Trust Score,Science & Health,6,7,325,600,54.2,Inconsistent,sum(score_points) / scored claims,Small groups are highly sensitive to individual claim selection; always show the scored-claim count.
By organization,Trust Score,Neuralink,5,6,325,500,65.0,Generally Trustworthy,sum(score_points) / scored claims,Small groups are highly sensitive to individual claim selection; always show the scored-claim count.
By organization,Trust Score,Public discourse,10,10,125,1000,12.5,Highly Untrustworthy,sum(score_points) / scored claims,Small groups are highly sensitive to individual claim selection; always show the scored-claim count.
By organization,Trust Score,SpaceX,9,18,400,900,44.4,Not Trustworthy,sum(score_points) / scored claims,Small groups are highly sensitive to individual claim selection; always show the scored-claim count.
By organization,Trust Score,Tesla,46,50,1625,4600,35.3,Not Trustworthy,sum(score_points) / scored claims,Small groups are highly sensitive to individual claim selection; always show the scored-claim count.
By organization,Trust Score,The Boring Company,5,5,75,500,15.0,Highly Untrustworthy,sum(score_points) / scored claims,Small groups are highly sensitive to individual claim selection; always show the scored-claim count.
By organization,Trust Score,X / Twitter,8,11,400,800,50.0,Inconsistent,sum(score_points) / scored claims,Small groups are highly sensitive to individual claim selection; always show the scored-claim count.
By claim type,Trust Score,Factual Assertion,13,13,175,1300,13.5,Highly Untrustworthy,sum(score_points) / scored claims,Small groups are highly sensitive to individual claim selection; always show the scored-claim count.
By claim type,Trust Score,Opinion or Rhetoric,0,1,,,,Not Scored,sum(score_points) / scored claims,Small groups are highly sensitive to individual claim selection; always show the scored-claim count.
By claim type,Trust Score,Prediction or Forecast,30,42,850,3000,28.3,Not Trustworthy,sum(score_points) / scored claims,Small groups are highly sensitive to individual claim selection; always show the scored-claim count.
By claim type,Trust Score,Promise or Commitment,40,44,1925,4000,48.1,Inconsistent,sum(score_points) / scored claims,Small groups are highly sensitive to individual claim selection; always show the scored-claim count.
Evidence status,Claims explicitly contested by credible sources,All,13,100,,,13.0,,credible_sources_contest_claim = Yes,"Contestation is a badge, not a verdict; the evidence is still evaluated as True, Mostly True, Misleading, Unsupported, False, or Unresolved."
Rating scale,Trust Score band,Highly Trustworthy,,,,,,,80 to 100,Editorial threshold disclosed for transparency.
Rating scale,Trust Score band,Generally Trustworthy,,,,,,,65 to 79,Editorial threshold disclosed for transparency.
Rating scale,Trust Score band,Inconsistent,,,,,,,45 to 64,Editorial threshold disclosed for transparency.
Rating scale,Trust Score band,Not Trustworthy,,,,,,,25 to 44,Editorial threshold disclosed for transparency.
Rating scale,Trust Score band,Highly Untrustworthy,,,,,,,0 to 24,Editorial threshold disclosed for transparency.
External benchmark,NYT achieved on time,Musk business goals,19,100,,,19.0,,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,The Times audited 602 future-deadline business goals from a much broader but differently scoped corpus.
External benchmark,NYT late or unfulfilled,Musk business goals,35,100,,,35.0,,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Late and unfulfilled were grouped in the published aggregate.
External benchmark,NYT unclear or no public update,Musk business goals,33,100,,,33.0,,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,These outcomes should not be forced into scored verdicts.
External benchmark,NYT future-dated,Musk business goals,13,100,,,13.0,,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Future promises should remain Pending.
